Parent Account ID,Account ID,OBH General Acct,Account Name,Program Name,Original Date of Licensure,SUD License Number,CS License Number,MH Designation,Phone,Fax,TDD/TTY,Billing Address Line 1,Billing City,County,Billing Zip/Postal Code,Billing State/Province,Hide Address,Provider Location Display Label,Website,Active SUD License,Active MH Designation,Opioid Treatment Programs,Residential Child Care Facility,Hospital,Community Mental Health Center,Community Mental Health Clinic,Psychiatric Residential,Substance Use Services,Mental Health Settings,Population Served,Accessibility,Fee(s),Languages Spoken,Hours of Operation Monday,Hours of Operation Tuesday,Hours of Operation Wednesday,Hours of Operation Thursday,Hours of Operation Friday,Hours of Operation Saturday,Hours of Operation Sunday,Outpatient - SU Services,Day Treatment (Partial Hospitalization),Intensive Outpatient - SU Services,Clinic Managed Low Intense Res Svcs,Clinic Managed Med Intense Res Svcs,Clinic Managed High Intense Res Svcs,Medically Monitored Intense Res Trtmt,Clinic Managed Residential Detox,Med Monitored Inpatient Detox,72-Hour Treatment & Evaluation,Acute Treatment Unit,Crisis Stabilization Unit,Day Treatment,Emergency,Intensive Outpatient,Outpatient,Residential Short Term Treatment,Residential Long Term Treatment,CIRCLE Program,MSO Affiliation,RAE,ASO,Alcohol & Drug Involuntary Commitment,General Treatment,DUI/DWI,Youth Treatment,Gender Responsive Ttmt for Women,Edu&Ttmt Svcs for Persons in CJS,Provider Directory Form Modified Date,lat,lon
0016100001HA063AAD,0016100001HA3nCAAT,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Peer I/Haven OTC,,2/13/1980,1094-06,,,(303) 761-2885,(303) 761-1450,,3762 W Princeton Circle,Denver,Denver,80236,CO,0,"3762 W Princeton Circle_BR_ENCODED_Denver, CO 80236",www.artstreatment.com,1,0,0,0,0,0,0,0,Outpatient; Education & Treatment Services for Persons in Criminal Justice System,,Men; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System,,,English,1:00PM - 9:00PM,1:00PM - 9:00PM,1:00PM - 9:00PM,1:00PM - 9:00PM,1:00PM - 9:00PM,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,,1,0,0,0,1,6/1/2022 3:47 PM,39.6399527,-105.0404221
0016100001HA063AAD,0016100001HA3e9AAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Peer I 3660 Princeton,Addiction Research & Treatment Services (ARTS) - Peer I - Dedication House,2/13/1980,1094-12,,,(303) 761-2885,(303) 761-1450,,3660 3670 W Princeton Circle,Denver,Denver,80236,CO,0,"3660 3670 W Princeton Circle_BR_ENCODED_Denver, CO 80236",www.artstreatment.com,1,0,0,0,0,0,0,0,Education & Treatment Services for Persons in Criminal Justice System; Clinically Managed High Intensity Residential Services,,Men; Offender; Clients referred from Court/Judicial System,,,English,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,,0,0,0,0,1,6/1/2022 3:45 PM,39.6390857,-105.0377282
0016100001HA063AAD,0016100001HA3e8AAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Peer I 3702 Princeton,,,1094-13,,,(303) 761-2885,(303) 761-1450,,3702 3712 W Princeton Circle,Denver,Denver,80236,CO,0,"3702 3712 W Princeton Circle_BR_ENCODED_Denver, CO 80236",www.artstreatment.com,1,0,0,0,0,0,0,0,Education & Treatment Services for Persons in Criminal Justice System; Clinically Managed High Intensity Residential Services,,Men; Offender; Clients referred from Court/Judicial System,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,,0,0,0,0,1,5/31/2022 5:19 PM,39.6391215,-105.0388012
0016100001HA063AAD,0016100001HA3hsAAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Potomac Street Center,Potomac Street Center,1/1/2018,1094-17,177,,(303) 283-5991,(303) 283-9117,,750 Potomac Street  Suite 101,Aurora,Arapahoe,80011,CO,0,"750 Potomac Street  Suite 101_BR_ENCODED_Aurora, CO 80011",www.artstreatment.com,1,0,1,0,0,0,0,0,Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Medication Assisted Therapy,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System; American Indian,,,English,6:00AM - 7:00PM,6:00AM - 7:00PM,6:00AM - 7:00PM,6:00AM - 7:00PM,6:00AM - 2:00PM,6:00AM - 12:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,ASAM Level 1; ASAM Level 2.1,1,1,0,0,1,6/1/2022 3:49 PM,39.7287571,-104.8274912
0016100001HA063AAD,0016100001HA3w9AAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Specialized Outpatient Services,,2/13/1980,1094-11,,,(303) 388-5894,(303) 333-4283,,"1648 Gaylord Street, Suite 150",Denver,Denver,80206,CO,0,"1648 Gaylord Street, Suite 150_BR_ENCODED_Denver, CO 80206",www.artstreatment.com,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women,,HIV; Homeless; LGBT; Men; Pregnant Women; Women,,,,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,ASAM Level 1; ASAM Level 2.1,1,1,0,1,1,6/1/2022 3:50 PM,39.7423994,-104.960675
0016100001HA063AAD,0016100001HA3nIAAT,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Synergy Outpatient Services,Addiction Research & Treatment Services (ARTS) - Synergy Outpatient Services,2/13/1980,1094-02,,1094-35,(303) 934-1008,(303) 762-2196,,3680-90 W Princeton Circle,Denver,Denver,80236,CO,0,"3680-90 W Princeton Circle_BR_ENCODED_Denver, CO 80236",artstreatment.com,1,1,0,0,0,0,1,0,Outpatient; Intensive Outpatient; Youth Treatment,Outpatient; Day Treatment; Community Mental Health Clinic,Youth; Minors/Adolescents,,,English; Spanish,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,SG,,,,0,0,1,0,0,6/1/2022 3:52 PM,39.6390361,-105.0382533
0016100001HA063AAD,0016100001HA3eAAAT,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - The Haven 3630 Princeton,Haven House,,1094-04,,,(303) 734-5000,(303) 783-5164,,3630 W Princeton Circle,Denver,Denver,80236,CO,0,"3630 W Princeton Circle_BR_ENCODED_Denver, CO 80236",www.artstreatment.com,1,0,0,0,0,0,0,0,General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Clinically Managed High Intensity Residential Services,,Women; Offender; Clients referred from Court/Judicial System,,,English,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,ASAM Level 3.5,1,0,0,1,1,6/1/2022 3:54 PM,39.6393441,-105.0362327
0016100001HA063AAD,0016100001HA3q1AAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - The Haven - RFW 3844 Princeton,Reflections for Women,,1094-20,,,303-734-5000,(303) 762-2181,,3844 W Princeton Circle,Denver,Denver,80236,CO,0,"3844 W Princeton Circle_BR_ENCODED_Denver, CO 80236",artstreatment.com,1,0,0,0,0,0,0,0,General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Clinically Managed High Intensity Residential Services,,Homeless; Pregnant Women; Women,,,English,,,,,,,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,ASAM Level 3.1; ASAM Level 3.5,1,0,0,1,0,6/1/2022 3:53 PM,39.6416261,-105.0396594
0016100001HA063AAD,0016100001HA3jhAAD,University of Colorado Denver Addiction Research & Treatment Services (ARTS) - General Account,Addiction Research & Treatment Services (ARTS) - Westside Center for Change,Westside Center for Change,4/18/2007,1094-25,227,,(303) 935-7004,(303) 935-3035,,6303 Wadsworth Bypass,Arvada,Jefferson,80003,CO,0,"6303 Wadsworth Bypass_BR_ENCODED_Arvada, CO 80003",www.artstreatment.com,1,0,1,0,0,0,0,0,Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Medication Assisted Therapy,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System; American Indian,,,English,6:00AM - 7:00PM,6:00AM - 7:00PM,6:00AM - 7:00PM,6:00AM - 7:00PM,6:00AM - 2:00PM,6:00AM - 12:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,SG,,,ASAM Level 1; ASAM Level 2.1,1,0,0,0,1,6/1/2022 3:55 PM,39.8112835,-105.0805386
0016100001H9zuPAAR,0016100001HA3ypAAD,Addiction Treatment Outpatient Services - General Account,Addiction Treatment Outpatient Services - Dry Creek Rd,Addiction Treatment Outpatient Services,7/22/1993,1284-01,,,(303) 329-3105,(303) 600-6645,,7200 E. Dry Creek Rd #C-203,Centennial,Douglas,80112,CO,0,"7200 E. Dry Creek Rd #C-203_BR_ENCODED_Centennial, CO 80112",www.atops.org,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI,,Clients referred from Court/Judicial System,Wheelchair,Medicaid; Self Pay,English,9:00AM - 6:00PM,9:00AM - 8:30PM,9:00AM - 6:00PM,9:00AM - 8:30PM,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,5/19/2022 1:10 PM,39.5798005,-104.9051149
0016100001H9zuPAAR,0016100001HA3r2AAD,Addiction Treatment Outpatient Services - General Account,Addiction Treatment Outpatient Services - Locust,Addiction Treatment Outpatient Services,,1284-00,,,(303) 329-3105,(303) 600-6645,,2755 South Locust #132,Denver,Denver,80222,CO,0,"2755 South Locust #132_BR_ENCODED_Denver, CO 80222",https://www.atops.org/,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI,,Clients referred from Court/Judicial System,Wheelchair,Medicaid; Self Pay,English,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,6/30/2022 8:02 AM,39.66638,-104.9160262
0016100001H9zuPAAR,0016100001HA43KAAT,Addiction Treatment Outpatient Services - General Account,Addiction Treatment Outpatient Services - Pikes Peak,Addiction Treatment Outpatient Services,11/30/2000,1284-02,,,(303) 329-3105,(303) 600-6645,,11027 S. Pikes Peak Dr.,Parker,Douglas,80138,CO,0,"11027 S. Pikes Peak Dr._BR_ENCODED_Parker, CO 80138",www.atops.org,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI,,Clients referred from Court/Judicial System,Wheelchair,Medicaid; Self Pay,English,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 9:00PM,9:00AM - 6:00PM,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,6/13/2022 12:00 PM,39.5166023,-104.7627308
0016100001HA012AAD,0016100001HA3h5AAD,Addictive Behaviors Counseling - General Account,Addictive Behaviors Counseling - Castle Creek,Addictive Behaviors Counseling,4/17/2007,1379-02,,,(970) 945-4854,(970) 947-9272,,0405 Castle Creek Rd,Aspen,Pitkin,81611,CO,0,"0405 Castle Creek Rd_BR_ENCODED_Aspen, CO 81611",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,,Private Insurance; Self Pay; Sliding Fee Scale,English,,4:30PM - 7:30PM,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,1,1,6/22/2022 12:00 PM,39.1898319,-106.8376243
0016100001HA012AAD,0016100001HA3h6AAD,Addictive Behaviors Counseling - General Account,Addictive Behaviors Counseling - Grand,Addictive Behaviors Counseling,3/3/1998,1379-01,,,(970) 945-4854,(970) 947-9272,,1429 Grand Ave,Glenwood Springs,Garfield,81601,CO,0,"1429 Grand Ave_BR_ENCODED_Glenwood Springs, CO 81601",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women,,HIV; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,,Private Insurance; Self Pay; Sliding Fee Scale,English,8:30AM - 5:30PM,8:30AM - 9:00PM,8:30AM - 9:00PM,8:30AM - 9:00PM,8:30AM - 5:30PM,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,1,1,6/22/2022 12:00 PM,39.5382715,-107.3255235
0016100001HA012AAD,0016100001HA3h7AAD,Addictive Behaviors Counseling - General Account,Addictive Behaviors Counseling - Mt Shadows Dr,Addictive Behaviors Counseling,3/3/1998,1379-00,,,(970) 945-4854,(970) 947-9272,,0425 Mt Shadows Dr,Glenwood Springs,Garfield,81601,CO,0,"0425 Mt Shadows Dr_BR_ENCODED_Glenwood Springs, CO 81601",,1,0,0,0,0,0,0,0,Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,,Private Insurance; Self Pay; Sliding Fee Scale,English,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,1,1,6/22/2022 12:00 PM,39.5672259,-107.3679053
0016100001H9zyaAAB,0016100001HA3zhAAD,Adult/Youth@Swanson Counseling LLC - General Account,Adult/Youth@Swanson Counseling LLC - Platte,,7/2/2014,1758-01,,,(719) 358-6559,(719) 418-3728,,1826 E. Platte Ave. Suite 102,Colorado Springs,El Paso,80909,CO,0,"1826 E. Platte Ave. Suite 102_BR_ENCODED_Colorado Springs, CO 80909",https://www.swanson-counseling.com/,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment,,HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian,,Medicaid; Private Insurance; Self Pay; Sliding Fee Scale,English; Spanish,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,6/27/2022 11:59 AM,38.8375343,-104.7935469
0016100001HA04TAAT,0016100001HA41SAAT,"Adult Youth Services, LLC - General Account","Adult Youth Services, LLC - North Academy","Adult Youth Services, LLC",7/20/2016,1779-01,,,(719) 442-1779,(719) 422-0538,,"320 N. Academy Boulevard, Suite 205",Colorado Springs,El Paso,80909,CO,0,"320 N. Academy Boulevard, Suite 205_BR_ENCODED_Colorado Springs, CO 80909",,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,1,0,1,6/21/2022 12:00 PM,38.8380626,-104.758338
0016100001HA073AAD,0016100001KguXOAAZ,"Advantage Treatment Centers, Inc. - General Account",Advantage Treatment Centers - Alamosa,,11/29/2017,1462-11,,,(719) 589-7510,(719) 589-2428,,2017 Lava Lane,Alamosa,Alamosa,81101,CO,0,"2017 Lava Lane_BR_ENCODED_Alamosa, CO 81101",advantage-tx.com,1,0,0,0,0,0,0,0,Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Clinically Managed High Intensity Residential Services,,Men; Women; Clients referred from Court/Judicial System,Wheelchair,Medicaid; Self Pay; Sliding Fee Scale,English,,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,1,0,0,1,5/26/2022 9:57 PM,37.450568,-105.8685556
