X,Y,OBJECTID,Account_Name,Address,City,State,Zip,Phone,Substance_Use_Services,Mental_Health_Settings,Additional_Services,Languages_Spoken,Population_Served,Accessibility,Fees,Hours_Monday,Hours_Tuesday,Hours_Wednesday,Hours_Thursday,Hours_Friday,Hours_Saturday,Hours_Sunday,LATITUDE,LONGITUDE,COUNTY_GEOCODE,DATE_GEOCODED,DATA_SOURCE,DATASET_NAME
-104.831329,39.6929509999999,699,Addiction Research & Treatment Services (ARTS) - Potomac Street Center,"1330 S Potomac St, Suite 104A",Aurora,CO,80012,(303) 283-5991,"Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Medication Assisted Therapy",,,,,,,,,,,,,,39.692951,-104.831329,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.960922,39.742397,700,Addiction Research & Treatment Services (ARTS) - Specialized Outpatient Services,"1648 Gaylord Street, Suite 150",Denver,CO,80206,(303) 388-5894,"Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women",,,,,,,,,,,,,,39.742397,-104.960922,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.038818,39.6395529999999,701,Addiction Research & Treatment Services (ARTS) - Synergy Outpatient Services,3680-90 W Princeton Circle,Denver,CO,80236,(303) 934-1008,"Outpatient; Intensive Outpatient; Youth Treatment",,,,,,,,,,,,,,39.639553,-105.038818,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.039619,39.63987,702,Addiction Research & Treatment Services (ARTS) - The Haven 3630 Princeton,3630 W Princeton Circle,Denver,CO,80236,(303) 762-2193,"General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Clinically Managed High Intensity Residential Services",,,,,,,,,,,,,,39.63987,-105.039619,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.035843,39.6397290000001,703,Addiction Research & Treatment Services (ARTS) - The Haven 3844 Princeton,3844 W Princeton Circle,Denver,CO,80236,(303) 761-6703,"General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Clinically Managed High Intensity Residential Services",,,,,,,,,,,,,,39.639729,-105.035843,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.03566,39.6397710000001,704,Addiction Research & Treatment Services (ARTS) - The Haven 3854 Princeton,3854 W Princeton Circle,Denver,CO,80236,(303) 761-7626,"General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Gender Responsive Treatment for Women; Clinically Managed High Intensity Residential Services",,,,,,,,,,,,,,39.639771,-105.03566,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.079941,39.811203,705,Addiction Research & Treatment Services (ARTS) - Westside Center for Change,6303 Wadsworth Bypass,Arvada,CO,80003,(303) 935-7004,"Opioid Treatment Programs; Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Medication Assisted Therapy",,,,,,,,,,,,,,39.811203,-105.079941,JEFFERSON,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.904922,39.580437,706,Addiction Treatment Outpatient Services - Dry Creek Rd,7200 E. Dry Creek Rd #C-203,Centennial,CO,80112,(303) 329-3105,"Outpatient; General Treatment; DUI/DWI",,,,,,,,,,,,,,39.580437,-104.904922,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.915672,39.666412,707,Addiction Treatment Outpatient Services - Locust,2755 South Locust #232,Denver,CO,80222,(303) 329-3105,"Outpatient; General Treatment; DUI/DWI",,,,,,,,,,,,,,39.666412,-104.915672,DENVER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.762314,39.516422,708,Addiction Treatment Outpatient Services - Pikes Peak,11027 S. Pikes Peak Dr.,Parker,CO,80138,(303) 329-3105,"Outpatient; General Treatment; DUI/DWI",,,English,,,,9:00AM - 6:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,,,39.516422,-104.762314,DOUGLAS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-107.322235,39.537945,709,Addictive Behaviors Counseling - Blake,1517 Blake Avenue,Glenwood Springs,CO,81601,(970) 945-4854,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women",,"Assessment and Referral; Domestic Violence; Co-occurring; Family Treatment; Monitored Sobriety; Prevention Services",English,"HIV; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian",,"Private Insurance; Self Pay; Sliding Fee Scale",8:30AM - 5:30PM,8:30AM - 9:00PM,8:30AM - 9:00PM,8:30AM - 9:00PM,8:30AM - 5:30PM,,,39.537945,-107.322235,GARFIELD,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-106.83773,39.18988,710,Addictive Behaviors Counseling - Castle Creek,0405 Castle Creek Rd,Aspen,CO,81611,(970) 945-4854,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women",,"Assessment and Referral; Co-occurring; Family Treatment",English,"HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian",,"Private Insurance; Self Pay; Sliding Fee Scale",4:00PM - 7:30PM,,,,,,,39.18988,-106.83773,PITKIN,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-108.052612,39.452831,711,Addictive Behaviors Counseling - Hallett,137 N. Hallett Street,Parachute,CO,81635,(970) 947-9272,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women",,,,,,,,,,,,,,39.452831,-108.052612,GARFIELD,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-107.367111,39.5672109999999,712,Addictive Behaviors Counseling - Mt Shadows Dr,0425 Mt Shadows Dr,Glenwood Springs,CO,81601,(970) 945-4854,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Gender Responsive Treatment for Women",,"Assessment and Referral; Co-occurring; Family Treatment; Recovery Services",English,"HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Youth; Offender; Minors/Adolescents; Clients referred from Court/Judicial System; American Indian",,"Private Insurance; Self Pay; Sliding Fee Scale",8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,,39.567211,-107.367111,GARFIELD,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.794273,38.837303,713,Adult/Youth@Swanson Counseling LLC - Platte,1826 E. Platte Ave. Suite 102,Colorado Springs,CO,80909,(719) 641-4917,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment",,,,LGBT,,,5:00PM - 8:00PM,9:00AM - 7:00PM,2:00PM - 7:30PM,2:00PM - 7:00PM,2:00PM - 7:30PM,10:00AM - 3:30PM,,38.837303,-104.794273,EL PASO,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.755417,38.8543010000001,714,"Adult Youth Services, LLC - Palmer Park","3919 Palmer Park Blvd., #3",Colorado Springs,CO,80909,(719) 442-1779,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment",,,,,,,,,,,,,,38.854301,-104.755417,EL PASO,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.865761,37.4485440000001,715,Advantage Treatment Centers - Alamosa,2017 Lava Lane,Alamosa,CO,81101,(719) 589-7510,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Clinically Managed High Intensity Residential Services",,Assessment and Referral,English,"Men; Women; Clients referred from Court/Judicial System",Wheelchair,"Self Pay; Sliding Fee Scale",,,,,,,,37.448544,-105.865761,ALAMOSA,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.819458,39.9861490000001,716,Advantage Treatment Centers - Brighton,30 S. 3rd Avenue,Brighton,CO,80601,(303) 591-3303,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.986149,-104.819458,ADAMS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-103.799232,40.248569,717,Advantage Treatment Centers - Ft Morgan,219 East Railroad Ave,Fort Morgan,CO,80701,(970) 571-7910,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Youth Treatment",,,,,,,,,,,,,,40.248569,-103.799232,MORGAN,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-102.610764,38.0925670000001,718,Advantage Treatment Centers - Lamar,800 East Maple Street,Lamar,CO,81052,(719) 336-0650,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Clinically Managed High Intensity Residential Services",,,,,,,,,,,,,,38.092567,-102.610764,PROWERS,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-107.892517,38.4882350000001,719,Advantage Treatment Centers - Montrose,1230 N Grand Avenue,Montrose,CO,81401,(970) 964-2777,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,38.488235,-107.892517,MONTROSE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-107.891838,38.4896390000001,720,Advantage Treatment Centers - Montrose OP,95 Merchant Drive Unit B1,Montrose,Colorado,81401,(970) 964-2777,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,38.489639,-107.891838,MONTROSE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-103.159492,40.614536,721,Advantage Treatment Centers - Sterling,12220 Highway 61,Sterling,CO,80751,(970) 522-7383,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment; Clinically Managed High Intensity Residential Services",,,,,,,,,,,,,,40.614536,-103.159492,LOGAN,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.762466,38.8908350000001,722,A Good Life Counseling,"3540 Austin Bluffs Pkwy.; Suite 2",Colorado Springs,Colorado,80918,(719) 632-8654,"Outpatient; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,"Assessment and Referral; Co-occurring; Monitored Sobriety; Recovery Services; Drug or Alcohol Breath and Urine Screening; Prevention Services; BiCultural","English; Spanish","HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System",,Self Pay,10:00AM - 8:00PM,10:00AM - 4:00PM,10:00AM - 4:00PM,10:00AM - 7:00PM,10:00AM - 4:00PM,8:00AM - 2:00PM,,38.890835,-104.762466,EL PASO,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.757294,38.828449,723,A Good Life Counseling - Academy,"225 S. Academy; Suite 103",Colorado Springs,CO,80909,(719) 520-9220 Spanish or 719-632-8654,"Outpatient; General Treatment; DUI/DWI",,"Assessment and Referral; Co-occurring; Monitored Sobriety; Recovery Services; Drug or Alcohol Breath and Urine Screening; Prevention Services; BiCultural","English; Spanish","HIV; Homeless; LGBT; Men; Military; Older Adults; Pregnant Women; Women; Offender; Clients referred from Court/Judicial System; American Indian",,Self Pay,,,10:00AM - 4:00PM,10:00AM - 7:00PM,10:00AM - 4:00PM,8:00AM - 2:00PM,,38.828449,-104.757294,EL PASO,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.056511,40.5634920000001,724,Alcohol Counseling and Guidance Services - Stuart,"1136 E Stuart Street, Suite 2060",Fort Collins,CO,80525,(970) 221-3425,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,English,,Wheelchair,Self Pay,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:30PM,9:00AM - 5:00PM,,,40.563492,-105.056511,LARIMER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.067619,40.603668,725,A Life Worth Living - Redwood,1225 Redwood Street,Fort Collins,CO,80524,(970) 484-2023,"Outpatient; Intensive Outpatient; General Treatment; Day Treatment (Partial Hospitalization); Clinically Managed Low Intensity Residential Services; Clinically Managed Medium Intensity Residential Services; Clinically Managed High Intensity Residential Se",,,English,Men,Deaf/Hard of Hearing,,,,,,,,,40.603668,-105.067619,LARIMER,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-104.757042,38.8319930000001,726,Alivio Counseling Services,3812 E. Pikes Peak Suite 204,Colorado Springs,CO,80909,(719) 679-3176,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,38.831993,-104.757042,EL PASO,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-103.206467,40.6263690000001,727,Alix McMurray Therapeutic Counseling,302 N. 3rd Street Suite 4,Sterling,CO,80751,(970) 520-9538,"Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,"Assessment and Referral; Co-occurring",English,"HIV; Homeless; LGBT; Men; Older Adults; Women; Offender; Clients referred from Court/Judicial System",Wheelchair,Sliding Fee Scale,,5:00PM - 7:00PM,5:00PM - 7:00PM,5:00PM - 7:00PM,5:00PM - 7:00PM,9:00AM - 6:00PM,9:00AM - 6:00PM,40.626369,-103.206467,LOGAN,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.016098,39.616428,728,All Health Network - 5524 Prince,5524 South Prince St,Littleton,CO,80120,(303) 730-8858,"Outpatient; Intensive Outpatient; General Treatment; DUI/DWI; Education & Treatment Services for Persons in Criminal Justice System",,,,,,,,,,,,,,39.616428,-105.016098,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
-105.016106,39.6159970000001,729,All Health Network - 5554 Prince,5554 South Prince St,Littleton,CO,80120,(303) 730-8858,"Outpatient; Intensive Outpatient; General Treatment; Education & Treatment Services for Persons in Criminal Justice System; Youth Treatment",,,,,,,,,,,,,,39.615997,-105.016106,ARAPAHOE,March 2020,Office of Behavioral Health - Colorado Department of Human Services,Substance use disorder licensing and mental health designation application system and service directory (Licensing and Designation Database and Electronic Records System)
